DATE,PERIOD,VERSION,SUBSIDIARY,ACCOUNT_NUM,LOCATION,DEPARTMENT,COST_CENTER,AMOUNT,QUANTITY,MEMO,STATUS
,202408,Budget FY2024,PPACANADA,62000,,DC,DC,4160,,,
,202408,Budget FY2024,PPACANADA,60200,,DC,DC,2059,,,
,202408,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202408,Budget FY2024,PPACANADA,68050,,DC,DC,1450,,,
,202408,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202408,Budget FY2024,PPACANADA,68200,,DC,DC,7078,,,
,202408,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202408,Budget FY2024,PPACANADA,68850,,DC,DC,1765,,,
,202409,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202409,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202409,Budget FY2024,PPACANADA,60100,,DC,DC,85800,,,
,202409,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202409,Budget FY2024,PPACANADA,60600,,DC,DC,7195,,,
,202409,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202409,Budget FY2024,PPACANADA,60200,,DC,DC,2288,,,
,202409,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202409,Budget FY2024,PPACANADA,68050,,DC,DC,3450,,,
,202409,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202409,Budget FY2024,PPACANADA,68200,,DC,DC,6169,,,
,202409,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202409,Budget FY2024,PPACANADA,68850,,DC,DC,38219,,,
,202410,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202410,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202410,Budget FY2024,PPACANADA,60100,,DC,DC,104000,,,
,202410,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202410,Budget FY2024,PPACANADA,60600,,DC,DC,8633,,,
,202410,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202410,Budget FY2024,PPACANADA,60200,,DC,DC,2860,,,
,202410,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202410,Budget FY2024,PPACANADA,68050,,DC,DC,3450,,,
,202410,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202410,Budget FY2024,PPACANADA,68200,,DC,DC,7592,,,
,202410,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202410,Budget FY2024,PPACANADA,68850,,DC,DC,9272,,,
,202411,Budget FY2024,PPACANADA,57000,,DC,DC,1400,,,
,202411,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202411,Budget FY2024,PPACANADA,60100,,DC,DC,104000,,,
,202411,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202411,Budget FY2024,PPACANADA,60600,,DC,DC,8633,,,
,202411,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202411,Budget FY2024,PPACANADA,60200,,DC,DC,2860,,,
,202411,Budget FY2024,PPACANADA,68000,,DC,DC,50463,,,
,202411,Budget FY2024,PPACANADA,68050,,DC,DC,3450,,,
,202411,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202411,Budget FY2024,PPACANADA,68200,,DC,DC,7666,,,
,202411,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202411,Budget FY2024,PPACANADA,68850,,DC,DC,7393,,,
,202412,Budget FY2024,PPACANADA,57000,,DC,DC,1300,,,
,202412,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202412,Budget FY2024,PPACANADA,60100,,DC,DC,104000,,,
,202412,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
,202412,Budget FY2024,PPACANADA,60600,,DC,DC,8633,,,
,202412,Budget FY2024,PPACANADA,62000,,DC,DC,,,,
,202412,Budget FY2024,PPACANADA,60200,,DC,DC,2860,,,
,202412,Budget FY2024,PPACANADA,68000,,DC,DC,51979,,,
,202412,Budget FY2024,PPACANADA,68050,,DC,DC,3450,,,
,202412,Budget FY2024,PPACANADA,68025,,DC,DC,4000,,,
,202412,Budget FY2024,PPACANADA,68200,,DC,DC,8499,,,
,202412,Budget FY2024,PPACANADA,68250,,DC,DC,100,,,
,202412,Budget FY2024,PPACANADA,68850,,DC,DC,61526,,,
,202401,Budget FY2024,PPACANADA,57500,,Ops,Ops,150,,,
,202401,Budget FY2024,PPACANADA,59000,,Ops,Ops,19100,,,
,202401,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
,202401,Budget FY2024,PPACANADA,60000,,Ops,Ops,117608,,,
,202401,Budget FY2024,PPACANADA,60500,,Ops,Ops,5358,,,
,202401,Budget FY2024,PPACANADA,60600,,Ops,Ops,9010,,,
,202401,Budget FY2024,PPACANADA,63800,,Ops,Ops,7500,,,
,202401,Budget FY2024,PPACANADA,65000,,Ops,Ops,500,,,
,202401,Budget FY2024,PPACANADA,68700,,Ops,Ops,3000,,,
,202401,Budget FY2024,PPACANADA,68800,,Ops,Ops,9500,,,
,202402,Budget FY2024,PPACANADA,57500,,Ops,Ops,1818.75,,,
,202402,Budget FY2024,PPACANADA,59000,,Ops,Ops,33200,,,
,202402,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
,202402,Budget FY2024,PPACANADA,60000,,Ops,Ops,117608,,,
,202402,Budget FY2024,PPACANADA,60500,,Ops,Ops,5358,,,
,202402,Budget FY2024,PPACANADA,60600,,Ops,Ops,9010,,,
,202402,Budget FY2024,PPACANADA,63800,,Ops,Ops,7600,,,
,202402,Budget FY2024,PPACANADA,65000,,Ops,Ops,,,,
,202402,Budget FY2024,PPACANADA,68700,,Ops,Ops,1500,,,
,202402,Budget FY2024,PPACANADA,68800,,Ops,Ops,12300,,,
,202403,Budget FY2024,PPACANADA,57500,,Ops,Ops,1810,,,
,202403,Budget FY2024,PPACANADA,59000,,Ops,Ops,24000,,,
,202403,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
,202403,Budget FY2024,PPACANADA,60000,,Ops,Ops,117608,,,
,202403,Budget FY2024,PPACANADA,60500,,Ops,Ops,5358,,,
,202403,Budget FY2024,PPACANADA,60600,,Ops,Ops,9010,,,
,202403,Budget FY2024,PPACANADA,63800,,Ops,Ops,6500,,,
,202403,Budget FY2024,PPACANADA,65000,,Ops,Ops,14000,,,
,202403,Budget FY2024,PPACANADA,68700,,Ops,Ops,2000,,,
,202403,Budget FY2024,PPACANADA,68800,,Ops,Ops,11600,,,
,202404,Budget FY2024,PPACANADA,57500,,Ops,Ops,150,,,
,202404,Budget FY2024,PPACANADA,59000,,Ops,Ops,34500,,,
,202404,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
,202404,Budget FY2024,PPACANADA,60000,,Ops,Ops,117608,,,
,202404,Budget FY2024,PPACANADA,60500,,Ops,Ops,5358,,,
,202404,Budget FY2024,PPACANADA,60600,,Ops,Ops,9010,,,
,202404,Budget FY2024,PPACANADA,63800,,Ops,Ops,7200,,,
,202404,Budget FY2024,PPACANADA,65000,,Ops,Ops,,,,
,202404,Budget FY2024,PPACANADA,68700,,Ops,Ops,1500,,,
,202404,Budget FY2024,PPACANADA,68800,,Ops,Ops,9700,,,
,202405,Budget FY2024,PPACANADA,57500,,Ops,Ops,150,,,
,202405,Budget FY2024,PPACANADA,59000,,Ops,Ops,28600,,,
,202405,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
